matrícula	nome	idade	renda	cor	sexo	ano_curso	escola	cod_curso	logradouro	numero	bairro	cidade	uf	cep	motivação
RA55009255	Washington Faia Quinzeiro Gusmão	25	5931.62	1	1	3	2	53	Rua São Judas	868	Condomínio Jequirituba	São Paulo	SP	04851-604	1
RA55001562	Jenete Úria Monjardim Cachoeira	19	825.99	1	2	3	1	39	Rua Sargento Luiz Baptista	725	Jardim São Vicente	São Paulo	SP	08021-530	9
RA55001671	Suzani César	19	815.99	1	2	3	1	86	Rua Dona Domitila	252	Vila Ponte Rasa	São Paulo	SP	03882-180	9
RA55006088	Ualas Bensaúde Grangeia Caneira	20	2127.42	2	1	4	1	82	Praça Yedo	133	Vila Maria Alta	São Paulo	SP	02134-050	4
RA55006670	Ariston Mariz Morgado Loio	21	2022.87	1	1	5	2	89	Rua Xavier de Almeida	504	Ipiranga	São Paulo	SP	04211-001	4
RA55005934	Ornilo Bacelar Caires Milheiriço	20	2396.42	2	1	4	2	55	Rua André de Almeida	406	Cidade São Mateus	São Paulo	SP	03959-090	8
RA55008830	Iasodara Loureiro Condorcet Bettencourt	24	4801.18	1	2	1	2	41	Rua Soneto de Agosto	641	Jardim Santa Lucrécia	São Paulo	SP	05185-430	3
RA55007946	Fredmar Vilhena Arantes Muxagata	21	2576.87	1	1	5	1	87	Rua Marcos Freire	439	Jardim Nova Conquista	São Paulo	SP	08346-580	2
RA55003509	Raian Nunes Ataíde Alvim	19	2250.98	1	1	3	2	42	Rua Major Diogo	495	Bela Vista	São Paulo	SP	01324-001	6
RA55002003	Roseluci Conceição Toste	19	720.99	1	2	3	1	44	Rua Quatro de Agosto	14	Saúde	São Paulo	SP	04053-060	9
RA55005867	Valdilene Fontinha Cancela	20	1901.43	1	2	4	2	3	Rua São Jorge	214	Recanto Verde do Sol	São Paulo	SP	08382-117	6
RA55000169	Neuriane Vilar Franco Canedo	19	202.0	1	2	3	1	58	Rua Marcos Freire	579	Jardim Nova Conquista	São Paulo	SP	08346-580	10
RA55002589	Lenicio Canhão Rebelo Matos	19	947.99	1	1	3	1	76	Rua N	349	Jardim Brasília (Zona Norte)	São Paulo	SP	02857-065	9
RA55005906	Djalma Belchiorinho Abasto	20	1852.43	1	1	4	1	19	Praça Capri	849	Jardim Leonor Mendes de Barros	São Paulo	SP	02347-040	7
RA55009530	Argentina Castilho Lancastre Caçoilo	29	11831.34	1	2	4	1	86	Rua Major Marcelino	634	Brás	São Paulo	SP	03025-020	1
RA55006385	Rosicleia Borba Caiado Cavadas	20	1549.43	2	2	4	2	99	Rua João Pires	702	Mooca	São Paulo	SP	03168-060	5
RA55007825	Odilce Esteves	21	2972.86	1	2	5	2	33	Avenida Ceci	688	Planalto Paulista	São Paulo	SP	04065-004	3
RA55009780	Vandeane Bonilha Silveira Veloso	47	6424.45	1	2	3	2	21	Rua Treze de Agosto	878	Vila União (Zona Leste)	São Paulo	SP	03920-070	1
RA55004630	Amiraci Cabeça Bandeira Vides	20	2411.42	2	2	4	2	97	Vila São João	348	Cidade São Mateus	São Paulo	SP	03961-130	6
RA55008561	Elioberto Eanes Cobra Barros	22	5808.28	1	1	5	2	44	Rua Rainha-do-Bosque	864	Vila Santa Inês	São Paulo	SP	03812-030	3
RA55009292	Sinelandia Anjos	22	3990.3	2	2	3	1	72	Rua Primeiro de Maio	149	Jardim São Francisco	São Paulo	SP	08390-263	1
RA55006875	Lorrane Gadelha Xavier	21	2177.87	1	2	5	1	53	Praça Aramã	946	Jardim Nordeste	São Paulo	SP	03691-160	5
RA55006522	Preciosa Vilela Doutis Ferreira	21	2325.87	1	2	5	2	26	Rua João Lima	912	Chácara Belenzinho	São Paulo	SP	03381-080	4
RA55008980	Tawany Gomes Granja	24	4755.18	1	2	5	1	65	Rua Sargento Sílvio Nunes Miranda	474	Parque Peruche	São Paulo	SP	02532-050	3
RA55006648	Giovane Teles Almeida	21	1570.88	1	1	5	1	66	Rua Ernani Pinto	803	Vila Maria Alta	São Paulo	SP	02128-020	4
RA55009826	Oceanira Bivar César	44	6559.11	1	2	5	2	46	Rua Soldado Américo Rodrigues	745	Parque Novo Mundo	São Paulo	SP	02186-020	1
RA55000211	Deolinda Peixoto Alcântara	19	195.0	1	2	3	1	67	Rua André de Almeida	406	Cidade São Mateus	São Paulo	SP	03959-090	9
RA55005279	Aiana Canedo	20	1347.43	1	2	4	2	63	Rua Dom Lino	945	Luz	São Paulo	SP	01103-070	8
RA55001920	Aruna Laranjeira Sintra Abranches	19	765.99	1	2	3	1	9	Rua João Volpe	329	Vila Constança	São Paulo	SP	02256-110	9
RA55000719	Veronilson Velasco Charneca	19	1166.99	1	1	3	1	37	Rua Aracy de Almeida	997	Jardim Indaiá	São Paulo	SP	08143-010	10
RA55004869	Irica Paz Anhaia	20	2318.42	1	2	4	1	8	Rua Pedro Feres	608	Água Branca	São Paulo	SP	05042-030	7
RA55007835	Zac Ulhoa	21	2507.87	1	1	5	1	27	Rua Primeiro de Maio	294	Jardim Colibri	São Paulo	SP	04855-630	2
RA55001299	Edvanildo Oleiro	19	651.99	1	1	3	1	62	Rua Batista Caetano	419	Aclimação	São Paulo	SP	04108-130	10
RA55009194	Veronilza Neto Viegas Adarga	22	4928.29	1	2	5	2	85	Rua Marechal Pimentel	204	Sacomã	São Paulo	SP	04248-100	0
RA55004618	Annie Leitão Zarco Valério	20	1683.43	1	2	4	2	9	Rua Major Marcelino	634	Brás	São Paulo	SP	03025-020	8
RA55003129	Jussiele Mena Nobre	19	1901.98	1	2	3	1	35	Rua Capitão Rangel	574	Vila São Geraldo	São Paulo	SP	03607-100	7
RA55009796	Flabiano Colares Modesto Fazendeiro	49	10301.3	1	1	2	2	1	Rua São João	461	Cidade de Deus	São Paulo	SP	08081-655	1
RA55003980	Licinha Doutel Tigre Faleiro	20	1358.43	1	2	4	1	50	Praça Elfos	452	Jardim Marajoara	São Paulo	SP	04664-090	8
RA55009925	Marci Vilela	35	17847.96	1	2	4	2	8	Avenida Valle	752	Parque Paulistano	São Paulo	SP	08081-070	0
RA55008318	Wedma Pegado	25	2912.65	1	2	2	2	104	Rua Pedro Roget	841	Jardim Vivan	São Paulo	SP	02993-160	2
RA55004394	Taciele Filipe	20	1299.43	1	2	4	2	107	Rua Batista Caetano	419	Aclimação	São Paulo	SP	04108-130	6
RA55001288	Vandeje Argolo Quintana	19	966.99	1	2	3	1	16	Rua Major Claudiano	49	Vila Gea	São Paulo	SP	04692-030	9
RA55004356	Deuzito Bivar Assis Lagoa	20	1483.43	1	1	4	2	89	Rua D	704	Jardim Fontalis	São Paulo	SP	02360-171	6
RA55007014	Lourrane Brasil Valgueiro Benevides	21	1334.88	1	2	5	2	60	Rua Nove de Julho	501	Santo Amaro	São Paulo	SP	04739-900	2
RA55003886	Jandice Horta	20	2404.42	1	2	4	1	69	Rua Major Baracca	906	Parque Edu Chaves	São Paulo	SP	02232-000	7
RA55005750	Luzimario Moita Botelho	20	2037.43	2	1	4	1	55	Rua Sargento Paulo Moreira	688	Conjunto Habitacional Marechal Mascarenhas de Morais	São Paulo	SP	03977-160	7
RA55009170	Joicenara Lemes Bivar	23	4295.74	1	2	5	2	11	Rua Treze de Agosto	881	Vila União (Zona Leste)	São Paulo	SP	03920-070	1
RA55002408	Ceci Sesimbra Quadros Mainha	19	715.99	2	1	3	1	18	Rua Major Boaventura	415	Parque Artur Alvim	São Paulo	SP	03569-030	9
RA55002014	Eclesiaste Quinteiro Vilante	19	609.99	1	1	3	1	61	Rua Domingos Maza	903	Vila Boaçava	São Paulo	SP	05170-280	9
RA55005154	Deoclesio Saltão	20	2097.42	1	1	4	1	100	Rua D	297	Jardim Mar Lune	São Paulo	SP	04874-190	6
RA55008552	Losangeles Lampreia Cadavez	24	3820.19	1	2	2	1	60	Rua Dom Rosalvo	343	Sumarezinho	São Paulo	SP	05442-903	3
RA55004377	Dilomar Bencatel Pinhal Fonseca	20	1508.43	1	1	4	1	45	Rua Dona Domitila	252	Vila Ponte Rasa	São Paulo	SP	03882-180	6
RA55008823	Djeimes Gil Rebouças	22	4194.3	1	1	3	2	22	Rua Pedro Doll	676	Santana	São Paulo	SP	02404-001	3
RA55004274	Ilamar Protásio Arouca	20	1768.43	2	1	4	1	56	Avenida Onze de Junho	167	Vila Clementino	São Paulo	SP	04041-000	8
RA55005826	Dalvirene Mexia	20	1374.43	1	2	4	2	64	Rua Peruíbe	864	Jardim Europa	São Paulo	SP	01448-090	6
